0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Headway Factor                  ,    ,    ,    ,1.00,    ,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,    ,1.00,,,
Turning Speed (mph)             ,    ,    ,    ,15  ,    ,9   ,15  ,    ,9   ,15  ,    ,9   ,15  ,    ,9,,,
Sign Control                    ,    ,    ,    ,Stop,    ,    ,    ,Free,    ,    ,Free,    ,Free,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",71.5,,,,,,,,,,,,,,,,,
Movement,WBL,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NER,,,,,,,,
Lane Configurations             ,0                                                                                                                       ,1                                                                                                                       ,0                                                                                                                       ,2                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,2>                                                                                                                      ,0                                                                                                                       ,0                                                                                                                       ,0,,,,,,,,
"Traffic Vol, veh/h              ",0                                                                                                                       ,593                                                                                                                     ,0                                                                                                                       ,1177                                                                                                                    ,0                                                                                                                       ,0                                                                                                                       ,1313                                                                                                                    ,96                                                                                                                      ,0                                                                                                                       ,0,,,,,,,,
"Future Vol, veh/h               ",0                                                                                                                       ,593                                                                                                                     ,0                                                                                                                       ,1177                                                                                                                    ,0                                                                                                                       ,0                                                                                                                       ,1313                                                                                                                    ,96                                                                                                                      ,0                                                                                                                       ,0,,,,,,,,
"Conflicting Peds, #/hr          ",0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0,,,,,,,,
Sign Control                    ,Stop                                                                                                                    ,Stop                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free,,,,,,,,
RT Channelized                  ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,-,,,,,,,,
Storage Length                  ,-                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-,,,,,,,,
"Veh in Median Storage, #        ",0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,
"Grade, %                        ",0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,
Peak Hour Factor                ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87                                                                                                                      ,87,,,,,,,,
"Heavy Vehicles, %               ",0                                                                                                                       ,7                                                                                                                       ,0                                                                                                                       ,7                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,4                                                                                                                       ,18                                                                                                                      ,0                                                                                                                       ,0,,,,,,,,
Mvmt Flow                       ,0                                                                                                                       ,682                                                                                                                     ,0                                                                                                                       ,1353                                                                                                                    ,0                                                                                                                       ,0                                                                                                                       ,1509                                                                                                                    ,110                                                                                                                     ,0                                                                                                                       ,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,WB                                                                                                                      ,                                                                                                                        ,NB                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,SB,,,,,,,,,,,,
"HCM Control Delay, s/v          ",$ 383.4                                                                                                                 ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,0,,,,,,,,,,,,
HCM LOS                         ,F,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,                                                                                                                        ,NBT                                                                                                                     ,WBLn1                                                                                                                   ,SBT                                                                                                                     ,SBR,,,,,,,,,,,,,
Capacity (veh/h)                ,                                                                                                                        ,-                                                                                                                       ,384                                                                                                                     ,-                                                                                                                       ,-,,,,,,,,,,,,,
HCM Lane V/C Ratio              ,                                                                                                                        ,-                                                                                                                       ,1.775                                                                                                                   ,-                                                                                                                       ,-,,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,                                                                                                                        ,-                                                                                                                       ,$ 383.4                                                                                                                 ,-                                                                                                                       ,-,,,,,,,,,,,,,
HCM Lane LOS                    ,                                                                                                                        ,-                                                                                                                       ,F                                                                                                                       ,-                                                                                                                       ,-,,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,                                                                                                                        ,-                                                                                                                       ,43.1                                                                                                                    ,-                                                                                                                       ,-,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,,,,,,
Lane Configurations             ,1                                                                                                                       ,1                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,1>                                                                                                                      ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1>                                                                                                                      ,                                                                                                                        ,0,,,,,,
Traffic Volume (vph)            ,118                                                                                                                     ,675                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,254                                                                                                                     ,189                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,29                                                                                                                      ,                                                                                                                        ,15,,,,,,
Future Volume (vph)             ,118                                                                                                                     ,675                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,254                                                                                                                     ,189                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,29                                                                                                                      ,                                                                                                                        ,15,,,,,,
Ideal Flow (vphpl)              ,1900                                                                                                                    ,1900                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,1900                                                                                                                    ,1900                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1900                                                                                                                    ,                                                                                                                        ,1900,,,,,,
Grade (%)                       ,                                                                                                                        ,5%                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,0%                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0%,,,,,,,,
Storage Length (ft)             ,150                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,150                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,150                                                                                                                     ,                                                                                                                        ,0,,,,,,
Storage Lanes                   ,1                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,0,,,,,,
Taper Length (ft)               ,25                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,25,,,,,,,,
Lane Util. Factor               ,1.00                                                                                                                    ,1.00                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,1.00                                                                                                                    ,1.00                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1.00                                                                                                                    ,                                                                                                                        ,1.00,,,,,,
Frt                             ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.942                                                                                                                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.955,,,,,,,,
Flt Protected                   ,0.950                                                                                                                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.968,,,,,,,,
Satd. Flow (prot)               ,1760                                                                                                                    ,1731                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,1674                                                                                                                    ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1745                                                                                                                    ,                                                                                                                        ,0,,,,,,
Flt Permitted                   ,0.950                                                                                                                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.968,,,,,,,,
Satd. Flow (perm)               ,1760                                                                                                                    ,1731                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,1674                                                                                                                    ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1745                                                                                                                    ,                                                                                                                        ,0,,,,,,
Link Speed (mph)                ,                                                                                                                        ,45                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,45                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,30,,,,,,,,
Link Distance (ft)              ,                                                                                                                        ,439                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,1697                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,451,,,,,,,,
Travel Time (s)                 ,                                                                                                                        ,6.7                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,25.7                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,10.3,,,,,,,,
Peak Hour Factor                ,0.92                                                                                                                    ,0.92                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,0.92                                                                                                                    ,0.92                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.92                                                                                                                    ,                                                                                                                        ,0.92,,,,,,
Heavy Vehicles (%)              ,0%                                                                                                                      ,7%                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,12%                                                                                                                     ,0%                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0%                                                                                                                      ,                                                                                                                        ,2%,,,,,,
Adj. Flow (vph)                 ,128                                                                                                                     ,734                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,276                                                                                                                     ,205                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,32                                                                                                                      ,                                                                                                                        ,16,,,,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,128                                                                                                                     ,734                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,481                                                                                                                     ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,48                                                                                                                      ,                                                                                                                        ,0,,,,,,
Enter Blocked Intersection      ,No                                                                                                                      ,No                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,No                                                                                                                      ,No                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,No                                                                                                                      ,                                                                                                                        ,No,,,,,,
Lane Alignment                  ,Left                                                                                                                    ,Left                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,Left                                                                                                                    ,Right                                                                                                                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,Left                                                                                                                    ,                                                                                                                        ,Right,,,,,,
Median Width(ft)                ,                                                                                                                        ,12                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,12                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,12,,,,,,,,
Link Offset(ft)                 ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0,,,,,,,,
Crosswalk Width(ft)             ,                                                                                                                        ,16                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,16                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,16,,,,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,1.03                                                                                                                    ,1.03                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,1.00                                                                                                                    ,1.00                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,1.00                                                                                                                    ,                                                                                                                        ,1.00,,,,,,
Turning Speed (mph)             ,60                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,60                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,60                                                                                                                      ,                                                                                                                        ,60,,,,,,
Sign Control                    ,                                                                                                                        ,Free                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,Free                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,Stop,,,,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",1.8,,,,,,,,,,,,,,,,,
Movement,EBL,EBT,WBT,WBR,SBL,SBR,,,,,,,,,,,,
Lane Configurations             ,1                                                                                                                       ,1                                                                                                                       ,1>                                                                                                                      ,0                                                                                                                       ,1>                                                                                                                      ,0,,,,,,,,,,,,
"Traffic Vol, veh/h              ",118                                                                                                                     ,675                                                                                                                     ,254                                                                                                                     ,189                                                                                                                     ,29                                                                                                                      ,15,,,,,,,,,,,,
"Future Vol, veh/h               ",118                                                                                                                     ,675                                                                                                                     ,254                                                                                                                     ,189                                                                                                                     ,29                                                                                                                      ,15,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0,,,,,,,,,,,,
Sign Control                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Stop                                                                                                                    ,Stop,,,,,,,,,,,,
RT Channelized                  ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,None,,,,,,,,,,,,
Storage Length                  ,150                                                                                                                     ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",-                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
"Grade, %                        ",-                                                                                                                       ,5                                                                                                                       ,0                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
Peak Hour Factor                ,92                                                                                                                      ,92                                                                                                                      ,92                                                                                                                      ,92                                                                                                                      ,92                                                                                                                      ,92,,,,,,,,,,,,
"Heavy Vehicles, %               ",0                                                                                                                       ,7                                                                                                                       ,12                                                                                                                      ,0                                                                                                                       ,0                                                                                                                       ,2,,,,,,,,,,,,
Mvmt Flow                       ,128                                                                                                                     ,734                                                                                                                     ,276                                                                                                                     ,205                                                                                                                     ,32                                                                                                                      ,16,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB                                                                                                                      ,                                                                                                                        ,WB                                                                                                                      ,                                                                                                                        ,SB,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",1.3                                                                                                                     ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,29,,,,,,,,,,,,,
HCM LOS                         ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,D,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,                                                                                                                        ,EBL                                                                                                                     ,EBT                                                                                                                     ,WBT                                                                                                                     ,WBR                                                                                                                     ,SBLn1,,,,,,,,,,,,
Capacity (veh/h)                ,                                                                                                                        ,1092                                                                                                                    ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,197,,,,,,,,,,,,
HCM Lane V/C Ratio              ,                                                                                                                        ,0.117                                                                                                                   ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0.243,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,                                                                                                                        ,8.7                                                                                                                     ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,29,,,,,,,,,,,,
HCM Lane LOS                    ,                                                                                                                        ,A                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,D,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,                                                                                                                        ,0.4                                                                                                                     ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0.9,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,,,,,,
Lane Configurations             ,                                                                                                                        ,1>                                                                                                                      ,0                                                                                                                       ,0                                                                                                                       ,<1                                                                                                                      ,                                                                                                                        ,1>                                                                                                                      ,                                                                                                                        ,0,,,,,,,,,
Traffic Volume (vph)            ,                                                                                                                        ,703                                                                                                                     ,0                                                                                                                       ,9                                                                                                                       ,442                                                                                                                     ,                                                                                                                        ,1                                                                                                                       ,                                                                                                                        ,22,,,,,,,,,
Future Volume (vph)             ,                                                                                                                        ,703                                                                                                                     ,0                                                                                                                       ,9                                                                                                                       ,442                                                                                                                     ,                                                                                                                        ,1                                                                                                                       ,                                                                                                                        ,22,,,,,,,,,
Ideal Flow (vphpl)              ,                                                                                                                        ,1900                                                                                                                    ,1900                                                                                                                    ,1900                                                                                                                    ,1900                                                                                                                    ,                                                                                                                        ,1900                                                                                                                    ,                                                                                                                        ,1900,,,,,,,,,
Lane Width (ft)                 ,                                                                                                                        ,12                                                                                                                      ,12                                                                                                                      ,13                                                                                                                      ,13                                                                                                                      ,                                                                                                                        ,12                                                                                                                      ,                                                                                                                        ,12,,,,,,,,,
Grade (%)                       ,                                                                                                                        ,-5%                                                                                                                     ,                                                                                                                        ,                                                                                                                        ,2%                                                                                                                      ,                                                                                                                        ,0%,,,,,,,,,,,
Lane Util. Factor               ,                                                                                                                        ,1.00                                                                                                                    ,1.00                                                                                                                    ,1.00                                                                                                                    ,1.00                                                                                                                    ,                                                                                                                        ,1.00                                                                                                                    ,                                                                                                                        ,1.00,,,,,,,,,
Frt                             ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.870,,,,,,,,,,,
Flt Protected                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.999                                                                                                                   ,                                                                                                                        ,0.998,,,,,,,,,,,
Satd. Flow (prot)               ,                                                                                                                        ,1820                                                                                                                    ,0                                                                                                                       ,0                                                                                                                       ,1722                                                                                                                    ,                                                                                                                        ,1650                                                                                                                    ,                                                                                                                        ,0,,,,,,,,,
Flt Permitted                   ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,0.999                                                                                                                   ,                                                                                                                        ,0.998,,,,,,,,,,,
Satd. Flow (perm)               ,                                                                                                                        ,1820                                                                                                                    ,0                                                                                                                       ,0                                                                                                                       ,1722                                                                                                                    ,                                                                                                                        ,1650                                                                                                                    ,                                                                                                                        ,0,,,,,,,,,
Link Speed (mph)                ,                                                                                                                        ,45                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,45                                                                                                                      ,                                                                                                                        ,30,,,,,,,,,,,
Link Distance (ft)              ,                                                                                                                        ,1697                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,872                                                                                                                     ,                                                                                                                        ,363,,,,,,,,,,,
Travel Time (s)                 ,                                                                                                                        ,25.7                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,13.2                                                                                                                    ,                                                                                                                        ,8.3,,,,,,,,,,,
Peak Hour Factor                ,                                                                                                                        ,0.89                                                                                                                    ,0.89                                                                                                                    ,0.89                                                                                                                    ,0.89                                                                                                                    ,                                                                                                                        ,0.89                                                                                                                    ,                                                                                                                        ,0.89,,,,,,,,,
Heavy Vehicles (%)              ,                                                                                                                        ,7%                                                                                                                      ,0%                                                                                                                      ,0%                                                                                                                      ,13%                                                                                                                     ,                                                                                                                        ,0%                                                                                                                      ,                                                                                                                        ,0%,,,,,,,,,
Adj. Flow (vph)                 ,                                                                                                                        ,790                                                                                                                     ,0                                                                                                                       ,10                                                                                                                      ,497                                                                                                                     ,                                                                                                                        ,1                                                                                                                       ,                                                                                                                        ,25,,,,,,,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,                                                                                                                        ,790                                                                                                                     ,0                                                                                                                       ,0                                                                                                                       ,507                                                                                                                     ,                                                                                                                        ,26                                                                                                                      ,                                                                                                                        ,0,,,,,,,,,
Enter Blocked Intersection      ,                                                                                                                        ,No                                                                                                                      ,No                                                                                                                      ,No                                                                                                                      ,No                                                                                                                      ,                                                                                                                        ,No                                                                                                                      ,                                                                                                                        ,No,,,,,,,,,
Lane Alignment                  ,                                                                                                                        ,Left                                                                                                                    ,Right                                                                                                                   ,Left                                                                                                                    ,Left                                                                                                                    ,                                                                                                                        ,Left                                                                                                                    ,                                                                                                                        ,Right,,,,,,,,,
Median Width(ft)                ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,12,,,,,,,,,,,
Link Offset(ft)                 ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,                                                                                                                        ,0                                                                                                                       ,                                                                                                                        ,0,,,,,,,,,,,
Crosswalk Width(ft)             ,                                                                                                                        ,16                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,16                                                                                                                      ,                                                                                                                        ,16,,,,,,,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,                                                                                                                        ,0.97                                                                                                                    ,0.97                                                                                                                    ,0.97                                                                                                                    ,0.97                                                                                                                    ,                                                                                                                        ,1.00                                                                                                                    ,                                                                                                                        ,1.00,,,,,,,,,
Turning Speed (mph)             ,                                                                                                                        ,                                                                                                                        ,60                                                                                                                      ,60                                                                                                                      ,                                                                                                                        ,                                                                                                                        ,60                                                                                                                      ,                                                                                                                        ,60,,,,,,,,,
Sign Control                    ,                                                                                                                        ,Free                                                                                                                    ,                                                                                                                        ,                                                                                                                        ,Free                                                                                                                    ,                                                                                                                        ,Stop,,,,,,,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",0.4,,,,,,,,,,,,,,,,,
Movement,EBT,EBR,WBL,WBT,NBL,NBR,,,,,,,,,,,,
Lane Configurations             ,1>                                                                                                                      ,0                                                                                                                       ,0                                                                                                                       ,<1                                                                                                                      ,1>                                                                                                                      ,0,,,,,,,,,,,,
"Traffic Vol, veh/h              ",703                                                                                                                     ,0                                                                                                                       ,9                                                                                                                       ,442                                                                                                                     ,1                                                                                                                       ,22,,,,,,,,,,,,
"Future Vol, veh/h               ",703                                                                                                                     ,0                                                                                                                       ,9                                                                                                                       ,442                                                                                                                     ,1                                                                                                                       ,22,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,0,,,,,,,,,,,,
Sign Control                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Free                                                                                                                    ,Stop                                                                                                                    ,Stop,,,,,,,,,,,,
RT Channelized                  ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,None                                                                                                                    ,-                                                                                                                       ,None,,,,,,,,,,,,
Storage Length                  ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
"Grade, %                        ",-5                                                                                                                      ,-                                                                                                                       ,-                                                                                                                       ,2                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
Peak Hour Factor                ,89                                                                                                                      ,89                                                                                                                      ,89                                                                                                                      ,89                                                                                                                      ,89                                                                                                                      ,89,,,,,,,,,,,,
"Heavy Vehicles, %               ",7                                                                                                                       ,0                                                                                                                       ,0                                                                                                                       ,13                                                                                                                      ,0                                                                                                                       ,0,,,,,,,,,,,,
Mvmt Flow                       ,790                                                                                                                     ,0                                                                                                                       ,10                                                                                                                      ,497                                                                                                                     ,1                                                                                                                       ,25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB                                                                                                                      ,                                                                                                                        ,WB                                                                                                                      ,                                                                                                                        ,NB,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",0                                                                                                                       ,                                                                                                                        ,0.2                                                                                                                     ,                                                                                                                        ,15.4,,,,,,,,,,,,,
HCM LOS                         ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,                                                                                                                        ,C,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,                                                                                                                        ,NBLn1                                                                                                                   ,EBT                                                                                                                     ,EBR                                                                                                                     ,WBL                                                                                                                     ,WBT,,,,,,,,,,,,
Capacity (veh/h)                ,                                                                                                                        ,373                                                                                                                     ,-                                                                                                                       ,-                                                                                                                       ,839                                                                                                                     ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,                                                                                                                        ,0.069                                                                                                                   ,-                                                                                                                       ,-                                                                                                                       ,0.012                                                                                                                   ,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,                                                                                                                        ,15.4                                                                                                                    ,-                                                                                                                       ,-                                                                                                                       ,9.3                                                                                                                     ,0,,,,,,,,,,,,
HCM Lane LOS                    ,                                                                                                                        ,C                                                                                                                       ,-                                                                                                                       ,-                                                                                                                       ,A                                                                                                                       ,A,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,                                                                                                                        ,0.2                                                                                                                     ,-                                                                                                                       ,-                                                                                                                       ,0                                                                                                                       ,-,,,,,,,,,,,,
